3:05 PM - 12 Dec 2015|Stop crabs pic twitter com 3S6s38hW1G|1K|974
12:27 PM - 12 Dec 2015|I'm always nap|4|2
12:55 PM - 11 Dec 2015|Money can't buy happiness BUT buy @G_Eazy concert tickets|604|1.2K
8:59 AM - 11 Dec 2015|Every single song weekend amazing Hands|2|0
12:38 PM - 10 Dec 2015|Oklahoma weather Wyd|2|1
5:01 AM - 9 Dec 2015|My outfit depends mood|7|3
5:58 PM - 8 Dec 2015|You ice cream man I'll chunky monkey @EmilyElliott03 @Tyga|2|0
10:17 AM - 23 Nov 2015|Should winter formal winter ball next semester|3|3
5:58 PM - 19 Nov 2015|Basketball season favorite season|4|2
