1:00 PM - 11 Dec 2015|A lightning strike filmed 7200 frames per second pic twitter com Bg3PxZV2MX|1.3K|2.1K
4:15 AM - 11 Dec 2015|@SpecialEffect chin-controlled #MarioKart fun #Insomnia56 pic twitter com Cz3bCXuUlg|11|11
8:03 PM - 8 Dec 2015|To celebrate GameGolf live's debut tour I give away RT follow Me @GAMEGOLF chance win pic twitter com JfeD76KjI4|596|99
1:58 AM - 3 Dec 2015|It international day disabled people See Tony Lloyd plays Golf http ow ly Vq3xv @Eng_Dis_Sport @JBlair84 @shortarmgolfer|12|5
3:45 AM - 26 Nov 2015|Read full story inspirational blind golfers new issue today http www todaysgolfer co uk magazines latest-issue-todays-golfer pic twitter com bnVCoSEAWX|2|1
8:58 AM - 25 Nov 2015|We 3 Limited Edition Scotty Cameron Caps give away Scotty loyalists Simply RT chance win pic twitter com XpVNrEKNvb|112|12
1:35 AM - 22 Nov 2015|2016 looks bit like @SkySportsGolf pic twitter com ZtxuY4TlpS|73|162
9:07 AM - 17 Nov 2015|Hmmm waddyathink allegedly longest club ever hit I think longer pic twitter com ukRZltqGMI|1|1
11:58 PM - 15 Nov 2015|Searching Xmas Present ideas golfers Why purchase game golf play home @DarrenClarke60 @SarahSkySports|9|5
