3:39 PM - 11 Dec 2015|Championship weight @TheNotoriousMMA #UFC194 http snpy tv 1RJhYCd|2.1K|2.2K
11:05 PM - 11 Dec 2015|Embedded episode 6 Let's fucking go https m youtube com watch feature youtu v ZujfTiYQqd4|830|2.7K
6:32 AM - 11 Dec 2015|Challenge status quo dare break ordinary https amp twimg com v 210d64a5-e536-4cb3-b9d8-b0f5cbddb87c|2|1
2:12 PM - 12 Dec 2015|I promise build new world us two middle pic twitter com 0mCPQgoTwH|619|763
1:58 PM - 12 Dec 2015|The Distance Between @10MillionMiler #quote #leadership #action #entrepreneur #quotes RT @Chrisalexii pic twitter com jWDLZqmIzY|22|34
10:40 AM - 12 Dec 2015|@CheChesterman gives us lowdown tonight's #XFactorFinal song choice https amp twimg com v 58f25860-8850-41f5-be89-bac80d85044e|135|481
