10:28 AM - 12 Dec 2015|I'm bullshitaphobic RT|3K|1.6K
9:30 AM - 28 Nov 2015|This group galaxies known Cheshire Cat More recent space images http natgeo com 1MKSUYl Photo @NASA pic twitter com my4P9dyuKN|797|1K
5:03 PM - 27 Nov 2015|Like small stores w big crowds small galaxy large black hole http go nasa gov 1NT1W33 #BlackHoleFriday pic twitter com DdrdQU5Y3x|2.2K|3.8K
