1:51 PM - 12 Dec 2015|Thank General #Trump2016 pic twitter com FCrYNoqYTb|2.3K|5K
11:41 AM - 11 Dec 2015|#GivingBirthInAmerica new film today @everymomcounts abt US 1 13 countries w rising #MMR http CNN com mothers|61|74
1:36 PM - 12 Dec 2015|Hillary's statement Paris climate change agreement pic twitter com R3BIcNkr3V|632|1K
