8:47 AM - 12 Dec 2015|Now time #JoinThePoliticalRevolution #Bernie2016 #feelthebern pic twitter com xPOtU8Fjyx|13|15
5:46 PM - 9 Dec 2015|Video All Ts trying get things done break - https www facebook com tchr2tchr videos 625837657557444 #teacherlife pic twitter com sheqljSDjA|16|18
12:10 PM - 22 Nov 2015|By providing Medicare everyone save typical family making 50 000 5 000 year|710|1.8K
5:34 PM - 18 Nov 2015|This Looks Like Nothing From The Outside But When You Step Inside Wow https cards twitter com cards 18ce53xhlxh 9nhl|10|19
3:47 PM - 17 Nov 2015|Goosebumps This awesome We strongly doubt happens candidate @BernieSanders #feelthebern pic twitter com QrDnI4Q8sG|94|162
5:36 PM - 18 Nov 2015|Super cool @BernieSanders cover @RollingStone pic twitter com GHqoBv40OW|38|61
6:33 AM - 18 Nov 2015|Democratic Socialism means means creating government represents us wealthiest http bernie Georgetown-Speech|1.2K|2.6K
4:45 AM - 17 Nov 2015|Day two NYC #Fastfor15 begins Nothing harder telling child isn't enough eat pic twitter com CUYz7U8qzb|41|32
