2:00 PM - 12 Dec 2015|love girls tell makeup looks nice ask got bag like needs gross compliments men eachother|1.4K|4.8K
7:45 AM - 11 Dec 2015|YOUR WINNER Yaya Toure crowned African Footballer Year 2015 CONGRATULATIONS #BBCAFOTY @YayaToure|167|78
1:37 PM - 5 Dec 2015|Bar reamain top table 2 point lead Atl tico 4 points ahead Real Madrid #fcblive pic twitter com gB8JS1xYAY|709|762
9:30 AM - 28 Nov 2015|Me wife pic twitter com q7hG3AhlnT|10K|14K
4:35 PM - 17 Nov 2015|Our thoughts go Jonah Lomu's family @AllBlacks Rugby community A legend game #RipJonah pic twitter com kiflMkpEjh|1K|1.1K
