7:49 PM - 10 Dec 2015|Life breaks heart Life drive knees way go - Rev Jake Owens|1K|2.1K
2:38 PM - 9 Dec 2015|The secret #happiness Retweet know it's true pic twitter com VNTNQEigdX|10|8
6:43 PM - 8 Dec 2015|Every single person I know successful successful love -- Joe Penna|3|2
