4:59 AM - 12 Dec 2015|@MattMcGorry Saw Facebook broke heart This terrorism pic twitter com HFd8KRW1F6|1.3K|1.4K
12:58 PM - 16 Nov 2015|President Obama dismissed idea religious tests refugees coming U S http nyti ms 1MNz8wu pic twitter com k5Y1VkwNGe|83|65
2:22 PM - 16 Nov 2015|Condoleezza Rice I get security concerns US accept refugees http bit ly 1RZLFgl pic twitter com oWkyr5yCTe|327|225
