4:29 PM - 3 Dec 2015|My top 4 frequently used facial expressions pic twitter com TPr1mYV3FM|3.5K|3.4K
11:30 AM - 12 Dec 2015|We're back home Sunday Need-to-know information gameday Arrowhead http chfs 1Ui4i0G #SDvsKC pic twitter com m2c2jZq2j6|39|126
11:52 AM - 15 Nov 2015|The worst feeling much say someone knowing you'd wasting time tried saying|930|1.3K
11:05 AM - 12 Dec 2015|exercise i've done month run money|197|217
11:33 AM - 12 Dec 2015|We've got covered 2 tickets tomorrow's game #GetLoudLambeau https twitter com AndySulewski status 675751210561990656|43|270
11:35 AM - 12 Dec 2015|Jimmy Amy Poehler play brutally honest game Truth Truth https youtu sqjSMZJoAKw pic twitter com UOpXbkf3TA|216|973
