11:58 AM - 12 Dec 2015|Having girl like Im handful get u mad like crazy theres one world love take care u like tho|471|974
1:01 PM - 12 Dec 2015|like clingy like double texts phone calls good morning goodnight texts like knowing someone cares like knowing try|503|1.1K
4:22 PM - 12 Dec 2015|re girl I talk pic twitter com fQk8DsRkYa|476|902
3:54 PM - 4 Dec 2015|Home alone 5 lost trap house pic twitter com RD55PgBTOc|1.4K|1.7K
