4:11 PM - 10 Dec 2015|Health basic human right every single person #HumanRightsDay pic twitter com RNV8jqYwEf|46|92
7:15 AM - 10 Dec 2015|The First Lady @JayPharoah @CollegeHumor #BetterMakeRoom Watch https youtu _1yAOK0nSb0 pic twitter com 62pgWqcRio|1.8K|2.5K
10:52 AM - 8 Dec 2015|news #TrumpIsDisqualifiedParty already spread across galaxy pic twitter com OLoHjuKAJq|1.1K|1.2K
11:40 AM - 8 Dec 2015|When I heard #TrumpIsDisqualifiedParty already started w pic twitter com 71QO0Jl2vq|454|513
