4:22 PM - 30 Nov 2015|struggle still caring grades lacking motivation type work|1.9K|2.1K
2:08 PM - 26 Nov 2015|Once true feelings someone always You may like anymore still care|319|574
2:58 PM - 26 Nov 2015|Facebook You realize different others Twitter You realize people know exactly feel|320|551
