5:43 PM - 12 Dec 2015|Dead pic twitter com jdf5z4ien9|1.1K|1.5K
7:32 AM - 12 Dec 2015|can't ever really measure I feel I felt always get used idea normal feeling|41|143
5:27 PM - 12 Dec 2015|One funniest vines time https vine co v OrxVxABXX93|970|1.8K
