5:25 PM - 3 Dec 2015|This semester got like pic twitter com 2lMrai6i7n|3.2K|4.4K
7:03 PM - 29 Nov 2015|This warms heart http vine co v e0uAYEPTPwu|2.8K|5.4K
8:56 PM - 25 Nov 2015|birth control personality|362|1.5K
6:04 PM - 22 Nov 2015|Let's Marvin Gaye get #AMAs stage http blbrd cm IQ3IE3 #MeghanCharlieAMAs pic twitter com 1KXDREH55e|1K|1.6K
