11:30 PM - 9 Dec 2015|Chuck Liddell -- I Respect McGregor But I'm Rooting Aldo http tmz 6uUNzIv|24|40
10:36 AM - 7 Dec 2015|Congress #DoSomething pic twitter com 0dhwrGu7wf|2.6K|5K
3:55 PM - 5 Dec 2015|This neuroscientist argues addiction disease rehab bullshit http bit ly 1Iww2gw pic twitter com DOhpIFtrnV|133|286
4:01 PM - 5 Dec 2015|wish teams held four fingers indicate fourth quarter begin soon Comforting reminder|26|72
6:52 AM - 4 Dec 2015|#BREAKING CARDIAC ARREST suspected #ScottWeiland's death http tmz KwzvaDM|299|163
4:39 AM - 27 Nov 2015|This it's like stigmatized community homeless http bit ly 21iduXt pic twitter com MDajCZXiE3|19|21
4:45 AM - 27 Nov 2015|Dudes please stop putting things beard 13 Instagram likes http bit ly 1Hs7apK #glitterbeard pic twitter com Gmt4Qut6AP|138|278
5:27 AM - 27 Nov 2015|West Point bans cadet pillow fights 30 injured http nbcnews 1TafhIi|36|30
4:00 AM - 26 Nov 2015|These cities it's illegal homeless Watch investigation http bit ly 1lF6pzG|23|21
