7:11 PM - 4 Dec 2015|@CraystinaS I thinking firing back Next home game it's|1|3
6:33 PM - 3 Dec 2015|@Kentrell_Mizzou picked 153rd tackle year hearing @Coach_Odom would #Mizzou's next coach https amp twimg com v e17fbc37-ba6e-471a-b0d3-38341e984a41|2K|1.7K
6:05 PM - 3 Dec 2015|NEWS #Mizzou Football Announces Barry Odom 32nd Head Football Coach #MizzouMade39 http mutigers com news 2015 12 3 coach-odom-39 aspx pic twitter com E4mMPdcKul|1.5K|814
5:29 PM - 21 Nov 2015|Apparently @MizzouFootball doesn't want us Jumbotron @ClayTravisBGID I know disagree #thankyougp pic twitter com dKI3D5wxBZ|12|22
8:03 AM - 26 Nov 2015|We thankful support received #Trivia4Josh every day Happy Thanksgiving pic twitter com pPaqbqcGBM|9|18
5:01 PM - 23 Nov 2015|The scorers table match Terrence Phillips Mizzou http es pn 1I7ozEi|408|721
