11:23 AM - 12 Dec 2015|You lot think one day|4.9K|9.3K
10:43 PM - 11 Dec 2015|sudden realization next year like 3 weeks away|2K|3.2K
11:29 AM - 12 Dec 2015|I get excited things normal people would never million years get excited I got sooooo hype scented candle|4.3K|9.9K
11:04 PM - 11 Dec 2015|Thanks letting come shut stage boys @KalinAndMyles|2.8K|8.7K
1:57 PM - 12 Dec 2015|Let's go #FollowMeKian|12K|17K
10:47 AM - 4 Dec 2015|Happy National Cookie Day pic twitter com jUbfTipEXd|2.3K|3.1K
4:30 PM - 22 Nov 2015|Then it's time hit recording new music HEAVY 2016 comes around You guys really gonna dig vibe|3.2K|8.3K
8:49 PM - 19 Nov 2015|Wish could decline people like decline calls You know someone starts talkin you're like nah I'm feelin|4.8K|9.6K
