5:30 PM - 11 Dec 2015|If I'm honest I'm still totally sure use fleek correctly #TooOldForThisShit|389|496
8:40 AM - 9 Dec 2015|Our new article opinions @eythora @kcomforte @Gymdogchels @marissaoakley13 http www insidegymnastics com # Should-womens-floor-exercise-have-only-2-or-3-tumbling-passes cd9n 5667731b0cf2a72d69b90e94|2|4
2:38 PM - 8 Dec 2015|Happy announce I @MorganPage #EverAfterRadioShow @DiRadio Friday 3 00pmUSC 9 00pmUK #EARS 055 http Di fm club|8|11
4:00 PM - 1 Dec 2015|Very happy announce I @FerryCorsten guest #EverAfterRadioShow Friday @DiRadio #EARS 054 http Di fm club|9|14
11:54 AM - 26 Nov 2015|@kcomforte thanks Kris happy thanksgiving u family dog Be thankful daughter isn't cooking #RotisserieChicken|2|1
7:38 AM - 26 Nov 2015|I asked God strength God gave difficulties make strong|417|571
8:53 AM - 26 Nov 2015|FOOTBALL FOOD REPEAT pic twitter com iB8Cf7g2Lb|1.2K|1.2K
12:56 PM - 19 Nov 2015|Dear @LUNAbar please bring back cookies cream flavor - amazing Thank Love Alicia|3|16
9:03 AM - 15 Nov 2015|Started Sunday right - walking @rizzofoundation 5k girls @kcomforte I coach https instagram com p -HPfBRPaLe|1|8
