1:49 AM - 21 Nov 2009|just booked my ticket to verona for day...
4:00 PM - 18 Nov 2009|just came back from watching ajab ki prem ghazab kahini....couldnt stop laughin...ranbir and katrina make a good couple on screen...
10:12 AM - 18 Nov 2009|@sinhaTheSinner c u at burons wedding
4:47 AM - 18 Nov 2009|wondering if i can be bothered to go to the cinema 2nite
4:33 PM - 17 Nov 2009|@CharleyBoorman loved BAM2....when is the 3rd, 4th and 5th coming out! lol!! you should try north to south india...that took me a month
4:26 PM - 17 Nov 2009|sorting out my trip to australia next may!!
