7:00 AM - 3 Dec 2015|No Way To Prevent This Says Only Nation Where This Regularly Happens http onion com 1MYqo5y pic twitter com zN0vDZdFf7|5.2K|4.3K
12:19 AM - 20 Nov 2015|My university offering postgraduate scholarships Syrian refugees More information http www ed ac uk student-funding postgraduate international region syria|28|16
6:30 AM - 17 Nov 2015|A reminder Americans want let Jewish refugees World War II start https www washingtonpost com news worldviews wp 2015 11 17 what-americans-thought-of-jewish-refugees-on-the-eve-of-world-war-ii|193|124
8:20 AM - 14 Nov 2015|Flowers French Consulate Edinburgh pic twitter com McHBZXEa3k|13|16
