7:08 PM - 10 Dec 2015|Let's make America great pic twitter com y8hz1Pvz9V|74K|14K
9:46 AM - 10 Dec 2015|Share #Kansas #amberalert pic twitter com cPWmUYceIs|243|56
3:06 AM - 10 Dec 2015|Freedom fear Freedom speech Freedom worship Freedom want #HumanRightsDay http j mp 1M3Db2L pic twitter com mncfE9mAOs|5.7K|4.1K
1:25 PM - 9 Dec 2015|Reporting #rockchalkinvisiblehawk protests today Look live tweeting I http www kansan com news members-of-rock-chalk-invisible-hawk-call-for-solidarity-during article_a687a400-9ea2-11e5-bc41-37e1a6f210f2 html# VmibkwkKt8o twitter via @KansanNews|1|0
11:30 AM - 9 Dec 2015|Christmas songs https www facebook com dylanevansofficial videos 1092283007472398|264|133
11:20 PM - 7 Dec 2015|Mayor bans Trump candidate suggests blocking Muslims http abcn ws 1OMXhEF|112|145
6:10 PM - 6 Dec 2015|Retweet heart breaking #OnceUponATime https vine co v i71D53l7tL7|5K|5K
4:15 PM - 4 Dec 2015|Brace The #OnceUponATime Winter Finale coming Don't miss Sunday 8 7c pic twitter com 7AAydvo4A2|1.4K|3.5K
4:53 PM - 4 Dec 2015|Perfect magnets pic twitter com zbdseC6ro9|1.6K|1.9K
5:11 PM - 4 Dec 2015|Moon Games - Laurent Laveder pic twitter com OyZi1MyqM7|622|901
8:18 AM - 26 Nov 2015|honestly bless john oliver pic twitter com eQzCUA11Vb|21K|21K
8:16 PM - 20 Nov 2015|r u software update|1K|1.5K
9:38 PM - 16 Nov 2015|Piano Guys Combine Fight Song Amazing Grace And The Results So Good I Got Chills http faithreel com piano-guys-combine-fight-song-amazing-grace-the-results-so-good-i-got-chills pic twitter com YF801ZDbIV|194|343
9:38 PM - 16 Nov 2015|One day I get 4 hours sleep But today day|2.3K|5.3K
10:22 PM - 16 Nov 2015|Someone used 500 dick pics make regal portrait Donald Trump http bzfd 1PKUc7B pic twitter com HUQlewTZnO|1.3K|1.8K
11:25 AM - 14 Nov 2015|Darkness cannot drive darkness light Hate cannot drive hate love MLK #PrayersForParis|116|186
11:13 AM - 14 Nov 2015|Painting mural Paris http nyti ms 1SQg4yn pic twitter com dhim6MzF10|716|958
