4:38 PM - 10 Dec 2015|El Chapo goat bruh pic twitter com MYXGKkgmBp|3.1K|2.8K
6:30 AM - 10 Dec 2015|Little known fact step Donald Trump's foot toupee lift like pedal bin lid|815|2.4K
7:50 PM - 9 Dec 2015|Years incident Maria would argue everyone experiments university pic twitter com W0StNfrAXd|76|106
5:35 AM - 10 Dec 2015|Everyone get free uppercut Donald Trump|266|845
7:56 AM - 9 Dec 2015|I feel birthday love pic twitter com djmGu1gJul|387|1.5K
3:33 PM - 7 Dec 2015|@kristisoreass m'laddie|1|1
3:49 PM - 5 Dec 2015|Lights guide home And ignite bones And I try fix|3.2K|4.8K
8:03 PM - 5 Dec 2015|@kristisoreass best friend talks OITNB hours|1|1
3:43 PM - 2 Dec 2015|@extrasexual @kristisoreass remind|1|1
8:11 PM - 1 Dec 2015|Decades later townsfolk would declare worst time capsule ever pic twitter com Y5YFjTbzPO|75|114
7:13 PM - 29 Nov 2015|@kristisoreass son funniest thing i've ever seen i'm cackling|1|2
5:10 PM - 29 Nov 2015|@kristisoreass pls sacrificied much family left one cold|1|1
5:08 PM - 29 Nov 2015|@kristisoreass art okay wouldnt get van gogh misunderstood pic twitter com sFzj89LSQK|1|1
4:47 PM - 29 Nov 2015|gotta make good impression first tweet pic twitter com 5YjcNsqBK4|1|1
8:14 PM - 28 Nov 2015|@kristisoreass I think Thot call everyone whore like I|1|1
8:12 PM - 28 Nov 2015|@kristisoreass @_kori_H it's true she'll roast|1|2
8:11 PM - 28 Nov 2015|@kristisoreass fam bam tho|1|1
2:57 PM - 25 Nov 2015|I can't deal thanksgiving memes|1|1
6:31 AM - 25 Nov 2015|feel like going back sleep body feel right|3|6
5:31 AM - 25 Nov 2015|today friday lol yes|6|11
8:18 AM - 24 Nov 2015|@kristisoreass describing tall person- long ass tree trunk legs|1|1
9:42 AM - 22 Nov 2015|Cannibals cannabis start 5 letters Coincidence I think Weed makes eat people What else would munchies mean|1.2K|1.3K
9:58 AM - 23 Nov 2015|Wake Bake More like Get high Die|988|1K
6:16 PM - 17 Nov 2015|When @kristisoreass starts watching grey's sees Mcdreamy|1|2
7:01 AM - 16 Nov 2015|want fly air fun|10|15
