6:24 PM - 11 Dec 2015|In year 2015 look college degree way looked high school degree 50 60 years ago|1.6K|4.9K
12:05 AM - 10 Dec 2015|Adele tickets black market 7k No thanks Not I sit car get depressed free|17|46
7:52 PM - 26 Nov 2015|Last minute papers due finals coming lowkey becomin broke food amp fun studying can't focus pic twitter com eUPlAfS0El|4.5K|6.4K
1:42 PM - 23 Nov 2015|Brought guy Busy Bee MLK ATL pic twitter com K93EUniUZE|11K|17K
11:20 AM - 14 Nov 2015|#ParisAttacks UPDATE 129 dead 352 injured 99 critical condition 3 arrests made Belgium http n pr 1N3RVpf https twitter com NPR status 665594180719083520|298|108
