9:59 PM - 9 Dec 2015|There power Knowledge greater power Wisdom|5.4K|9K
8:35 PM - 9 Dec 2015|Guys The Goo Goo Dolls song 'Iris' would graduate high school year person|11|12
3:02 PM - 8 Dec 2015|Charge At Active Shooters And More Horrible Advice From Fox News http buff ly 1TzBPlX pic twitter com MJVpLhyUNl|56|119
7:01 AM - 7 Dec 2015|Where dump batch The playground No bald children arousing suspicion To park pic twitter com ZaHxysi7xn|889|1.2K
9:32 AM - 5 Dec 2015|@michaelianblack @AndreaTantaros seen experiment Thoughts http www patheos com blogs friendlyatheist 2015 12 04 these-pranksters-read-bible-passages-to-people-telling-them-it-was-the-quran-they-were-shocked #st_refDomain co st_refQuery W1CXylsTtG|5|7
4:54 PM - 4 Dec 2015|What kind shoes pedophile wear White vans #BadJokeFriday @999KISW|2|13
2:03 PM - 4 Dec 2015|Um honey I jazzed sing My Sacrifice aloud watch boxing movie|42|89
2:19 PM - 4 Dec 2015|@JoeyRyanOnline @RonFunches world's ready|2|14
10:16 AM - 4 Dec 2015|Weapons US easy buy vegetables Op-Edge http rt com 6yle pic twitter com VKgbxsyDuv|131|69
7:13 PM - 3 Dec 2015|Started filming new project girl Kansas travels magical world bang scarecrow lion tinman The Jizz|1|4
4:07 PM - 3 Dec 2015|Wait They dont actually call pic twitter com rUcrKw0qm6|15|21
9:52 PM - 2 Dec 2015|@michaelianblack I think upset hard find stella shorts DVD|5|109
9:21 PM - 1 Dec 2015|Jem Holocaust #FirstDraftCartoons @midnight|4|35
7:18 PM - 29 Nov 2015|Free mind pic twitter com 9omIguu62r|2.7K|4.2K
7:23 PM - 29 Nov 2015|I think earth paradise we've given There's nothing So love care ur fellow humans 'cause|2K|5.3K
7:50 AM - 27 Nov 2015|Lunch today going like Justin Theroux starring HBO series leftovers|14|59
5:50 PM - 26 Nov 2015|Turkey risks provoking next world war Iraq Vice President Maliki http rt com 6xoq pic twitter com STbJ7Ag6CO|215|112
10:40 AM - 26 Nov 2015|I'm glad dog living truth RT @Itzshowtim3__ Breh pic twitter com 2XcHqwZXsb|209|232
11:20 AM - 26 Nov 2015|'VING TIP Don't let turkey neck go waste Come john stickin' fly Classic guy humor|231|294
8:39 AM - 26 Nov 2015|Today really makes think things I'm truly grateful family friends good health etc But importantly Superkicks|147|292
9:00 AM - 26 Nov 2015|#TBT The National Hockey League founded exactly 98 years ago today http snpy tv 1lKRmVp|1.2K|1.6K
9:06 AM - 26 Nov 2015|Happy thanksgiving pic twitter com 2dwPAfN4U5|375|474
3:40 AM - 25 Nov 2015|2015 it's still hit miss whether vending machine takes bills|207|449
8:18 PM - 24 Nov 2015|Trigger warning graphic content- video @chicago_police murdering #LaquanMcDonald cold blood https twitter com Jasmyne status 669317195311087616|113|66
6:54 PM - 24 Nov 2015|Music key happiness|80|206
7:08 PM - 24 Nov 2015|Go google's website type long time ago galaxy far far away search box enjoy|312|395
11:22 AM - 22 Nov 2015|VHS chill - hipsters|541|1.3K
10:43 AM - 24 Nov 2015|I got rarely say die attitude|22|46
8:28 PM - 22 Nov 2015|I spent lot Survivor Series laughing show feeling connection caring majority wrestlers|87|255
9:46 PM - 22 Nov 2015|@nodqdotcom HHH heart attack realising bad Survivor Series pic twitter com ytfrfpwrv6|72|122
7:24 AM - 23 Nov 2015|When weekend's #cbbtv https vine co v iuQeLumlgbL|8|29
7:26 AM - 22 Nov 2015|Dear U S chances dying terrorist attack 1 20 million pic twitter com qNU7Gmk9VZ|450|493
12:04 PM - 21 Nov 2015|You're 10 years old You're sat ringside WWE RAW attitude era front Woman Then happens pic twitter com XIiQUuk8lo|46|58
8:22 AM - 22 Nov 2015|My favorite vine ever https vine co v MXMwlgge9tZ|6.2K|9.9K
9:40 AM - 22 Nov 2015|last merch post ONE PEANUTS SHIRT LEFT owen koji splits oop holidays way http intoitoverit bigcartel com pic twitter com pQNbPMvlsN|15|55
9:44 AM - 22 Nov 2015|When someone bad mouths team #sports pic twitter com dRLVuuOQyH|15|36
9:37 AM - 22 Nov 2015|Live Framingham Makes want black lives matter protesters back pic twitter com ljcu62xusp|238|689
10:46 AM - 17 Nov 2015|There right wrong opinions unless invalidated ignored facts conflict|14K|18K
7:05 PM - 21 Nov 2015|This dude drop HAMMER F-bomb https vine co v izaA2Ub6gYj|1.1K|1.9K
7:25 PM - 21 Nov 2015|Guy Fieri Anthony Bourdain feuding throwing hilarious shots http trib al pQZbpLJ pic twitter com VvuKLR3StN|28|101
12:06 AM - 20 Nov 2015|RT you've got #FridayFeeling pic twitter com sC2KztwKgH|877|746
7:58 PM - 18 Nov 2015|Did Facebook common used words gimmick Was shocked results Didn't realize I used phrase taint-wrangler much|1|1
9:48 AM - 18 Nov 2015|I like call big pasta|34|69
7:31 PM - 17 Nov 2015|A guy kicked disabled man flight stairs evil thing imaginable http trib al MiBJZ7a pic twitter com XJQEWfF0i9|3|8
8:48 PM - 16 Nov 2015|Barrett Brown imprisoned US journalist activist founder Project PM pic twitter com 2IbvSUQ8Ks MT @AnonyOps Follow @FreeBarrett_ #FreeBB|61|38
8:28 AM - 16 Nov 2015|#Iceland Pirate Party keeps dominating opinion polls http icelandmag visir article icelands-pirate-party-keeps-dominating-opinion-polls pic twitter com bSv7cMe6qq|144|104
8:16 AM - 17 Nov 2015|#Kenya faces four-year ban #athletics #doping http rt com 6wt1 #WADA #IAAF pic twitter com 7hV3zu3439|50|22
10:12 AM - 16 Nov 2015|#WikiLeaks releases audio accusing Obama Bush administrations corruption http rt com 6wpr pic twitter com nbJ9aa11Jc|309|159
8:30 AM - 16 Nov 2015|purchased awesome audio equipment gear sad middle aged men demographic|27|127
9:21 AM - 16 Nov 2015|Wikileaks releases audiotapes allegedly showing fraud Obama Bush administrations http www telegraph co uk news worldnews wikileaks 11998922 Wikileaks-releases-audiotapes-allegedly-showing-fraud-in-Obama-and-Bush-administrations html pic twitter com s9jZXMoiES|211|127
9:34 AM - 16 Nov 2015|The hardest hits weekend Fairfield University powder puff game pic twitter com mHQSbJ0XR0|104|171
9:43 PM - 15 Nov 2015|When I m exercising regularly I feel cleaner better type aggravation hostility|369|974
9:15 PM - 15 Nov 2015|Anonymous hunt Hacktivists declare total war ISIS #ParisAttacks http rt com 6wn1 pic twitter com p9arDWuIa7|607|460
8:19 PM - 15 Nov 2015|finaly found whats briefcase pulp fiction pic twitter com d5DTpzSzba|951|1.8K
7:10 PM - 14 Nov 2015|The business model Wall Street fraud I love @SenSanders #DemDebate|672|1.6K
1:40 PM - 14 Nov 2015|Our school shootings r caused Americans Americans shoot schools right Don't forget Muslims Isis|8.7K|16K
11:16 AM - 14 Nov 2015|Appreciate life|472|747
