1:47 PM - 7 Dec 2015|CMON @kanyewest @KimKardashian|25K|28K
9:09 PM - 6 Dec 2015|Ok I'll moisturize Beyonc -late night conversations @suzieq3335|1|2
2:09 PM - 6 Dec 2015|hanukkah DENY NOTHING @nathanfielder pic twitter com S02ZIzOy2u|2.2K|8.4K
5:45 AM - 19 Nov 2015|Insightful article @TheAtlantic devaluation women's humor http www theatlantic com health archive 2015 11 plight-of-the-funny-female 416559 utm_source SFTwitter|1|2
