9:07 PM - 7 Dec 2015|Blackbird Tweeting dead night Stop crappy memes learn Vine #InternettheBeatles @midnight|111|427
12:14 PM - 3 Dec 2015|Me Bob it's pronounced CHANGING a-changin' Bob Dylan Me Can someone teach Bob say CHANGE David Bowie stands Me Not|3.1K|3.6K
11:21 AM - 1 Dec 2015|I don't get work bunny inserts nearly often I'd like #dirtsledding pic twitter com 22S6uEf6sh|161|930
2:10 PM - 2 Dec 2015|Our country soul sickness #SanBernadino|98|199
11:26 AM - 2 Dec 2015|The best metal shows LA month @BellWitchdoom @artofshock http www laweekly com music the-best-los-angeles-metal-shows-to-see-in-december-6329696|5|6
2:00 PM - 26 Nov 2015|If walk purpose everyone assume helping clean post turkey dinner|735|2.1K
11:54 AM - 19 Nov 2015|If wait it's perfect twelve people done first @tullman|172|210
12:01 PM - 18 Nov 2015|I discovered life ways getting almost anywhere want go really want go|167|201
