10:24 AM - 11 Dec 2015|Hey crocodiles get You're good push ups|17|66
3:00 PM - 7 Dec 2015|Trump's policy would also allow thousands Muslim soldiers serving overseas return home families either|176|202
2:44 PM - 7 Dec 2015|Trump's policies enacted keep @JanetJackson completing 2nd half tour U S Such madness|105|154
1:04 PM - 9 Dec 2015|Billionaires pay effective tax rate lower nurses truck drivers That makes sense We need real tax reform|1.6K|3.2K
3:06 AM - 10 Dec 2015|Freedom fear Freedom speech Freedom worship Freedom want #HumanRightsDay http j mp 1M3Db2L pic twitter com mncfE9mAOs|5.7K|4K
6:15 PM - 9 Dec 2015|Bernie Sanders New Hampshire favorability almost unheard new poll http trib al imKTzNx pic twitter com q8ELYKfnzg|476|1.1K
3:11 PM - 7 Dec 2015|Donald Trump basically YouTube comment section running president|34K|37K
3:08 PM - 4 Dec 2015|Planned Parenthood Myth Vs Fact http onion com 1lgqAnK pic twitter com uxeXbk5hBR|848|1K
