10:58 AM - 7 Dec 2015|worst thing death make R I P grave actually stand Racism Is Power|1.6K|4.1K
10:01 PM - 24 Nov 2015|gets pulled Ma'am I'm gonna need step heelies|2|6
3:32 PM - 30 Nov 2015|Missionaries haiku Woman street-- Why must ask God Also bad breath|2|0
