4:44 PM - 8 Dec 2015|wear 100 makeup face there's time crying|2.3K|4K
4:49 AM - 10 Dec 2015|Take time everyday practice self-care involves French kissing airport bathroom mirror I say go girl|277|484
5:41 AM - 10 Dec 2015|I need man who's afraid live-tweet funeral|544|748
6:46 PM - 9 Dec 2015|Little taste pic twitter com 36pfXV5nbh|528|1.7K
12:16 PM - 8 Dec 2015|Me studying pic twitter com Vu0zex04BW|5.7K|8.1K
5:50 PM - 7 Dec 2015|people college super identifiable rn cuz laughing smiling|11|28
12:16 PM - 1 Dec 2015|I try best shop Christmas presents I see something think know would like Me|15K|11K
9:14 PM - 5 Dec 2015|Here encouragement finals week lovable you're lovable You'll lovable|155|303
5:03 PM - 5 Dec 2015|ur dedicated detective investigates vicious felonies ur crush walks pic twitter com pli7axFvUw|7.8K|14K
12:24 PM - 5 Dec 2015|ginger minj george costanza drag|2|5
6:01 PM - 2 Dec 2015|okay could #Survivor showdown Joe Ozzy Malcolm That would incredible|69|198
9:03 AM - 2 Dec 2015|Bail set 10 000 student arrested racial threats WWU - http www katu com news local Bail-set-at-10K-for-student-arrested-for-racial-threats-359740331 html #LiveOnK2 pic twitter com R4ce6siZgl|10|6
3:21 PM - 1 Dec 2015|I'm highly motivated ambitious woman looking achieve dreams make things happen murder anyone gets way|407|549
5:55 PM - 30 Nov 2015|Breaking @WWU student Tysen Campbell 19 arrested suspicion alleged threat posted @YikYakApp pic twitter com tT8DCw84Wv|57|38
2:13 PM - 30 Nov 2015|nyello side|2|8
4:24 PM - 27 Nov 2015|You don't stay strong Have break cry scream Do whatever need|176|327
4:37 PM - 25 Nov 2015|let's get lost tonight u black bob ross tonight|143|428
11:35 AM - 25 Nov 2015|TRY DO ONE THINGBIG Or SMALLTHAT WILL MAKE TOMORROW SPECIAL4 YOU THOSE YOULOVE OrLIKEOr CAN BEARLY STAND CAN CHANGE ALL|2.5K|3.2K
9:30 AM - 25 Nov 2015|ur family roasting thanksgiving dinner ur grandma steps says leave u alone pic twitter com mq9EZHbT8K|13K|22K
12:36 PM - 24 Nov 2015|I swear God I hear another person say All Lives Matter|310|1.2K
6:31 AM - 24 Nov 2015|#BREAKING Western Washington University canceled classes today due hate speech targeting students color #liveonkomo|545|147
7:19 AM - 21 Nov 2015|Me don't even get started Me gets started|491|792
2:59 PM - 19 Nov 2015|Why aren't unsolicited dick pics considered indecent exposure Flashing someone illegal Why aren't dick pics|68|219
