1:41 PM - 2 Dec 2015|As human beings world job ascribe unconditional worth every life planet Value life Every life|5|20
2:53 PM - 28 Nov 2015|Bernie Sanders introduces bill ending federal marijuana ban http dld bz ebpZz via @HuffPostPol vote pic twitter com tnwCb0Zp5Q|1.2K|1.9K
6:51 PM - 27 Nov 2015|A great article spirituality climate change http tinyurl com jn6nszg @Bahai_Teachings|25|74
9:56 AM - 24 Nov 2015|Stop you're go type A long time ago galaxy far far away #Google|27|35
1:45 PM - 24 Nov 2015|'Cheers' gets 'Fallout 4' makeover courtesy @nerdist http bit ly 1MPH4tK pic twitter com 9WebtEQ4mu|23|36
8:18 AM - 23 Nov 2015|Happy birthday Nerdist boss extraordinaire Chris @Hardwick Send birthday wishes pic twitter com dAkZE72uRh|38|151
