5:29 PM - 8 Dec 2015|FIRST DROP IS SUNDAY DECEMBER 13TH pic twitter com YHfRhnwb93|2.2K|4.9K
7:21 AM - 4 Dec 2015|Being killed gun Japan likely killed lightning strike U S http nyti ms 1Nw3LlX|984|750
4:55 PM - 27 Nov 2015|Star fruit crunchy water|2|6
6:41 AM - 24 Nov 2015|This morning breast stroke front door world|166|266
5:23 PM - 14 Nov 2015|At times like dont know much feel one single moment alive world something Im grateful|238|374
