2:30 PM - 6 Dec 2015|Second Amendment A Little Creeped Out By How Obsessed Americans Are With It http onion com 1Qp2hiJ pic twitter com Bf4zZw6UCM|1.3K|1.7K
5:38 PM - 3 Dec 2015|thankful ella fitzgerald every day love u @ella|4|10
4:59 PM - 1 Dec 2015|spread kindness pic twitter com XleA7JStUp|1|21
12:26 PM - 14 Nov 2015|'The wrong response Paris attacks would create countless new recruits Isis' http ind pn 1SPLZ22|139|98
