3:46 PM - 26 Nov 2015|honor thanksgiving let us remember greatest thanksgiving episode tv history http twitter com girlposts status 669993149176160256 video 1|2.6K|3.8K
11:28 AM - 26 Nov 2015|thankful peanut butter wine|1|6
7:35 AM - 26 Nov 2015|I don't need fimeme fianc BIG STRONG BEARDED says GOBBLE GOBBLE IN THE OVEN oh I married thanksgiving turkey|1.2K|2.2K
9:04 PM - 25 Nov 2015|Just thought dying might well fight like hell really want Happy Holidays|208|510
11:42 AM - 25 Nov 2015|YESSS A Thanksgiving miracle indeed @nbcsnl http youtu e2zyjbH9zzA|463|1.1K
7:36 AM - 25 Nov 2015|Women victims - agents change- @UN SG Ban Ki-moon #orangetheworld event #16days pic twitter com QHY9h2hImQ|306|177
3:46 PM - 24 Nov 2015|hey young girls look ANY DAMN WAY YOU WANT TO badass interior work|347|619
11:41 PM - 23 Nov 2015|Muslim wakes morning brushes teeth- Terrorist White supremacists shoot 4 black people- Alleged shooters|1.2K|1.5K
8:17 PM - 22 Nov 2015|@erin_kotas thx visiting telling that's raven vision I going panic attack tattoos|1|0
8:31 PM - 20 Nov 2015|As tv law student I'd like congratulate everyone passed bar exams I'll stick acting go lawyer|1.7K|5.6K
6:16 PM - 20 Nov 2015|#suffragette part 2 chums|1|0
9:53 AM - 17 Nov 2015|If think fertilized eggs people refugee kids aren't you're going stop pretending concerns religious|6.8K|7.5K
6:03 AM - 19 Nov 2015|Apparently today International Men's Day I like call every day|640|1.1K
8:52 AM - 17 Nov 2015|One year ago today Buffalo battled snow bounced back stronger #OneBuffalo #Snowvember pic twitter com 4mTQHNJneg|433|351
7:26 AM - 17 Nov 2015|A year ago Buffalo midst #Snowvember A tragedy brought together city like pic twitter com Xphp4I7M9P|590|378
7:04 PM - 14 Nov 2015|I want Bernie Sanders surrogate grandfather take breakfast diner|2K|3.4K
7:01 PM - 16 Nov 2015|I grow I want @erin_kotas|3|4
5:49 PM - 14 Nov 2015|To Paris love pic twitter com CiP2r0qmjg|2.7K|3.9K
12:48 PM - 14 Nov 2015|Support female filmmakers see #Suffragette Made FOR women BY women Now theaters everywhere pic twitter com TuaYMHB3An|18|24
1:20 PM - 14 Nov 2015|Stay healthy cold flu season eating lots vitamin C-packed kale disinfecting everyone meet flamethrower|228|292
