1:13 AM - 6 Dec 2015|Maybe like scientist doctor probably https twitter com time status 673419127193735168|36K|48K
3:54 AM - 6 Dec 2015|true pic twitter com LlTiNxJ7Zn|602|415
12:26 PM - 3 Dec 2015|Baltimore tonight Connecticut Saturday released tix special tapings NY 11th http www boburnham com tour|71|635
