12:18 PM - 4 Dec 2015|WE SHOULD GET OFF WORK AND SCHOOL FOR THIS HISTORIC AND CRUCIAL NATIONAL HOLIDAY #NationalCookieDay pic twitter com F3mtJZVmnT|2.8K|3.5K
8:35 AM - 24 Nov 2015|Looking forward STA SCC Christmas Party @RevivalHouseON @StratfordON tonight pic twitter com Ox2Tzc5A0v|2|0
10:19 AM - 21 Nov 2015|Santa Comet brought snow North Pole #feelslikechristmas #DTstratford pic twitter com BX4DxdkZYs|3|1
7:10 PM - 20 Nov 2015|#DTStratford gearing Holiday Season @CathyRehberg @DreaKerr shared details week http www rogerstv com page aspx lid 237 rid 22 gid 241573|2|1
