11:26 PM - 10 Dec 2015|Omg heard Archduke Franz Ferdinand-- thoughts prayers family|1.8K|4.5K
8:00 AM - 7 Dec 2015|This best TD celebration ever http tfm li INZ8kb|100|173
6:36 PM - 6 Dec 2015|Made gingerbread sex dungeon|12|62
6:39 PM - 6 Dec 2015|The actual big bang theory funnier Big Bang Theory|996|1.9K
