4:26 AM - 9 Dec 2015|Is allowed pic twitter com WRBs5etmjn|101|113
7:38 AM - 9 Dec 2015|since yall think could run country better fools become president day un passionate motherfuckers|7|24
4:24 PM - 3 Dec 2015|Yeezy boost giveaway Follow RT enter Winners contacted 12 24 pic twitter com LFNckOtC1Y|1.6K|379
7:15 PM - 2 Dec 2015|Just workin|3|4
3:31 AM - 30 Nov 2015|Vet killed Planned Parenthood shooting ran back inside shot save others http nbcnews 1lTPVnw pic twitter com arOINdAPWY|3.4K|2.1K
2:44 PM - 21 Nov 2015|Briefly discussed future @blrathletique newest brand ambassador @e_doggg Welcome https instagram com p -XTSKVGb5u|3|2
3:40 PM - 14 Nov 2015|I broken man I know pain I know happiness I know rain I know sun Im trying yall I trying Keep trying|12K|20K
11:27 AM - 15 Nov 2015|Ronda Rousey says paid let Holm win smh pic twitter com 1BG8umrT7t|4.5K|2K
5:28 PM - 14 Nov 2015|rt ur ugly|2.7K|1K
