12:10 PM - 8 Dec 2015|You know @jk_rowling many evils world even evil standards pic twitter com EqQ6gkh6op|590|932
4:57 PM - 30 Nov 2015|Pls lord bless spaceship I leave planet|11|30
3:05 PM - 29 Nov 2015|I running president must protect woman right choose must defend Planned Parenthood #JJdinner|4.1K|9.3K
2:25 PM - 24 Nov 2015|Muslims weren't cheering 9 11 like Trump claims ironically white people WERE cheering rally black protester beaten|170|388
6:43 PM - 27 Nov 2015|Dear @GOP @FoxNews If red cup means war Christmas What actual murder mean war women #PlannedParenthood|5.4K|7K
12:10 PM - 27 Nov 2015|Lotta Let's assume Colorado shooter people calling banning Islam 1 minute Paris attacks|1.5K|2.1K
4:55 PM - 27 Nov 2015|Funny simple tweet says much https twitter com shaunking status 670404277802782720|216|353
12:04 PM - 21 Nov 2015|Michael Brown Eric Garner Walter Scott Freddie Gray Sandra Bland Tamir Rice Samuel Dubose Rekia Boyd many|5.6K|7.7K
