7:28 PM - 6 Dec 2015|Wishing I Hogwarts final exams always cancelled|6.6K|8.2K
7:53 PM - 28 Nov 2015|finally finish never ending practice pic twitter com fDjKMAoBQn|126|459
8:58 PM - 1 Dec 2015|I hate people say important reality it's hardly even mildly interesting|1|5
11:05 AM - 28 Nov 2015|I don't care swimming cares intensely x 100|152|728
10:50 AM - 26 Nov 2015|vs pic twitter com m4XI3vYD2n|1.7K|2.4K
9:00 PM - 24 Nov 2015|My semester consisting three advanced physics courses calc 3 almost I deserve award pic twitter com iPkMKyWl6T|1|11
9:08 AM - 24 Nov 2015|I can't fine tongue I'm sad|2|15
5:20 PM - 24 Nov 2015|Things I hate 1 losing 2 adding time 3 running 4 ppl sprint warmup 5 hypoxic 6 tapering 7 swimming|460|1.2K
10:13 PM - 14 Nov 2015|Apple cider always continue favorite drink|2|3
11:55 AM - 21 Nov 2015|Me I hate swimming high school swimming club wants swim college convinces others swim Me|491|1.6K
1:29 PM - 14 Nov 2015|The thing I'll get first place swim meet eating fruit snacks|1|9
