5:03 PM - 9 Dec 2015|You punishment|2.1K|3.3K
9:05 PM - 8 Dec 2015|Permanently extend Zadroga Act 9 11 responders NOW @SenateMajLdr @SpeakerRyan #WorstResponders http www hulu com watch 880611|228|141
10:15 AM - 24 Nov 2015|Busy ensemble member Lois Smith @PHnyc's MARJORIE PRIME #Tireless #WonderWoman -- http nyti ms 1P6cVw0 pic twitter com 8fnXcbxzaj|4|8
12:00 PM - 28 Nov 2015|NYC 1903 pic twitter com nDgype35uS|8|26
1:39 PM - 28 Nov 2015|There nothing US Constitution protects offended truth|21K|30K
4:00 PM - 28 Nov 2015|It never dress- pic twitter com 1m8uUgel5c|13|36
7:48 AM - 28 Nov 2015|Believe achieve great things|15|16
9:45 AM - 26 Nov 2015|Only weak men intimidated funny women http www glamourmagazine co uk celebrity entertainment monitor 2015 11 simon-pegg-funny-women|467|1.1K
