7:17 PM - 8 Dec 2015|Muslim Americans This country I m proud fellow American And many many Americans feel way -H|8.3K|14K
8:46 PM - 4 Dec 2015|Bowling Green beat N Illinois 20 OSU scrapped w 7 pt W Yet OSU unequivocally better UNC God bless #eyetest|2|4
4:34 PM - 4 Dec 2015|Hey @StateCoachD y'all got tomorrow #STATEment|1|0
6:38 PM - 28 Nov 2015|Hey @StateCoachD year 3 @CoachFedora many ACC wins stadium #STATEment|3|0
5:56 PM - 28 Nov 2015|Hey @StateCoachD @CoachFedora 2-0 Carolina friendly stadium ACC games 2-10|4|1
10:53 AM - 16 Nov 2015|@jonahkeri hard throwing 19 yr old GCL w control issues one TJ surgery books would love centerpiece Freeman trade|1|0
5:34 PM - 14 Nov 2015|What night remember 7-0 home Thank much fans I always remember guys made I love y'all #GoHeels|444|1.2K
