3:11 PM - 7 Dec 2015|Donald Trump basically YouTube comment section running president|34K|37K
1:03 PM - 7 Dec 2015|This year TV critics probably also share top 10 list shows meant didn't watch|18|29
12:38 PM - 7 Dec 2015|Kim's baby name inspiration pic twitter com 3PP9yLzA1W|62|79
6:52 PM - 4 Dec 2015|The moral outrage gun epidemic The New York Times runs first front-page editorial 95 years http www nytimes com 2015 12 05 opinion end-the-gun-epidemic-in-america html|372|322
2:46 PM - 2 Dec 2015|BBC report tonight Just another day United States America pic twitter com ikw41FLbgz|4K|1.7K
3:03 PM - 2 Dec 2015|I know it's called American Crime Story The People vs OJ Simpson I like think Keeping Up With The Kardashians The Prequel|17|34
9:57 AM - 27 Nov 2015|Note The deserved leap faith took Ryan Coogler Fruitvale Station Creed women directors almost never given|139|260
7:57 PM - 26 Nov 2015|Not sure Trump needs president already powerful enough ruin thousands Thanksgivings existing|75|203
10:46 AM - 25 Nov 2015|Imagine threshold entertainment low actually enjoy parades|463|1K
11:53 AM - 25 Nov 2015|Time flies even turkeys don't - President Obama king dad jokes That's good one - Malia Obama pic twitter com LLNVXUHzEH|183|357
9:43 AM - 23 Nov 2015|When HBO uses image Jon Snow promote #GameOfThrones Season 6 pic twitter com c1lcyM9xmf|45|56
2:12 PM - 22 Nov 2015|Stop surprised Donald Trump He outlier He average ignorant person platform|2.3K|3K
3:46 PM - 22 Nov 2015|That's context new It's fault I said something stupid|12|35
2:23 PM - 22 Nov 2015|Former Sec State Madeleine Albright hits nail head comes refugees http huff 1j8dI0V pic twitter com hxgM2El3UB|70|83
6:26 PM - 21 Nov 2015|The irony shouting All Lives Matter beat shit man probably lost anyone would shout All Lives Matter|3.6K|4.5K
12:13 AM - 21 Nov 2015|Almost 75 years making #WonderWoman underway pic twitter com jCa0qRzuW8|12K|16K
11:45 AM - 21 Nov 2015|TRIVIA Has ever time Americans' fear nationalities entering country proven justified ANSWER No|133|385
6:39 AM - 20 Nov 2015|You shouldn't prove you're Christian get America prove understand satire join Twitter|71|421
9:28 AM - 18 Nov 2015|#IStillFacebookBecause I need know advance friends never talk politics|122|257
3:23 PM - 17 Nov 2015|@BobbyJindal says ending campaign U S president This time http cnn 1l3XIP2 pic twitter com DSlKTmPO09|70|71
6:05 PM - 16 Nov 2015|Someone please come save #HomeAlone pic twitter com bzQ1p2fTsK|111|182
