7:52 PM - 8 Dec 2015|A true sign good love song smoke weed|939|2.2K
5:51 PM - 5 Dec 2015|meeee https twitter com papajamison status 673244492678479872|1|1
7:18 PM - 2 Dec 2015|Cyber Monday Giving Tuesday Mass Murder Wednesday Misinformation Thursday Finger Pointing Friday Insensitivity Saturday Forgetful Sunday|630|665
11:52 AM - 26 Nov 2015|drake larry david pic twitter com vWxcQSNn8L|423|1.2K
3:51 AM - 24 Nov 2015|#ThanksgivingWithBlackFamilies Aunt How's everything You Good Aunt That's ya momma said You pic twitter com 96e539ZxIv|8.7K|7.6K
1:00 AM - 20 Nov 2015|Coming soon supermarket near FDA approves genetically modified salmon http cbsn ws 1Oij9FK pic twitter com 0yHtQHWDqE|109|65
12:15 PM - 19 Nov 2015|Isn't kind strange completly built eat still eat bullshit knowing shit let's take control|271|420
11:09 AM - 15 Nov 2015|Technically ur always group chat w Feds|7|12
