4:10 PM - 10 Dec 2015|We're really getting urge call Bill Murray|3.2K|4.5K
6:16 AM - 10 Dec 2015|Same Let's move California Wait https twitter com dizzy4423 status 674952268521713665|2|2
9:52 AM - 9 Dec 2015|It's smells like weenie water row work|1|2
5:49 PM - 22 Nov 2015|You guys ready @TheWalkingDead tonight I #TheWalkingDead pic twitter com Qn7YEBQF4k|3.6K|6.9K
1:13 AM - 6 Dec 2015|Maybe like scientist doctor probably https twitter com time status 673419127193735168|36K|48K
6:37 PM - 3 Dec 2015|Listened Episode Two Andrea's With Y Pod @Stitcher @twoAndreaswithY http www stitcher com eid 41471501|3|1
11:22 AM - 3 Dec 2015|Episode 18 Broke bloated Thanksgiving Black Friday Cyber Monday Tune https www instagram com p -11tRusic2|3|2
6:32 AM - 2 Dec 2015|You ready new episode #TAWAY Stay tuned Hump Daaaaaay #SUBSCRIBE #TWEET #FOLLOW https www instagram com p -yvsNXsiQJ|3|2
11:42 AM - 26 Nov 2015|@soniaarias915 tested #happythanksgiving|2|2
10:35 AM - 26 Nov 2015|@dizzy4423 Happy Thanksgiving Sides best bird #happythanksgiving #veggiesaurus pic twitter com AztmfDIL0v|2|2
7:17 AM - 26 Nov 2015|Happy Thanksgiving families gents @Xaviersworld @biggie_paul Salud|4|2
10:50 AM - 19 Nov 2015|Charlie Sheen's ex Bree Olson says doctors came house week http www hlntv com shows dr-drew articles 2015 11 18 charlie-sheen-s-ex-bree-olson-says-doctors-came-to-his-house-once-a-week utm_source zergnet com utm_medium referral utm_campaign zergnet_779573 via @HLNTV|2|1
12:02 PM - 19 Nov 2015|If you're using break room landline I automatically assume cheating Stay radar bruh|1|1
9:46 AM - 20 Nov 2015|I saw guy smoking w dog car can't get arrested Jerk|1|1
4:38 PM - 19 Nov 2015|Now I see one would hang bar traffic dies|1|3
