3:23 PM - 6 Dec 2015|Hey it's us pic twitter com kKvf69tFXF|858|6.1K
12:18 PM - 3 Dec 2015|Amy Poehler receive star Hollywood #WalkOfFame 15 minutes Watch http bit ly 1QQxeOb pic twitter com GGXBqHYKbC|212|740
12:55 PM - 1 Dec 2015|Halp I'm stuck homework|1|2
4:57 PM - 26 Nov 2015|thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks thanks|8.8K|20K
11:36 AM - 23 Nov 2015|I'm elegant diver I'm real bad swimmer|222|1.4K
12:58 PM - 23 Nov 2015|know super fucked say girls rule boys drool|450|1.1K
9:25 AM - 23 Nov 2015|Let's switch gears right reverse bc that's life going right #justnancythings|2|2
10:12 AM - 18 Nov 2015|My glasses aren't today She says face #justnancythings|1|2
