12:01 AM - 29 Nov 2015|Just reminder https vine co v OX1LVYp3v7X|3.5K|3.9K
8:59 AM - 29 Nov 2015|At 1 33 today time Gainesville that's right 27 2|679|889
7:00 PM - 28 Nov 2015|good parenting right pic twitter com H9AKuGyJQX|458|992
3:00 PM - 28 Nov 2015|Me Christmas pic twitter com Zg0M8xYtJG|91|135
1:14 PM - 28 Nov 2015|When boy doesn't close door close door boy|1|1
12:33 PM - 27 Nov 2015|Rule #12 If wants don't worry wants|470|602
1:55 PM - 25 Nov 2015|IF WE ARE DATING THAT MEANS YOU HAVE TO HOLD MY HAND 24 7 OR BE SHOWING SOME AFFECTION TOWARDS ME BC IM NEEDY AND WILL COP A ATTITUDE|516|1.1K
5:21 PM - 23 Nov 2015|Dria fell DIDN'T run ladder Like walked realized COULD hit fell|1|1
