11:51 AM - 10 Dec 2015|New Pic Kareena Kapoor Malabar Gold Diamonds pic twitter com be6buXxqXM|28|73
5:36 AM - 8 Dec 2015|The Most Surprising SuperFoods http bit ly 1GD6D04 pic twitter com SoDr8m36jY|1|3
7:30 AM - 5 Dec 2015|D Delhi D dapper D Don miss Dilwale logo phone cover Damn I marketing genius ha ha pic twitter com 7P1oig8lQ4|6.6K|17K
5:37 AM - 3 Dec 2015|@iaasifsheikh aasif sir im send aapki awesome acting favourite scenes pic twitter com hpTjE3OD6Y|8|21
4:55 AM - 5 Dec 2015|Wanna party like @MissMalini Post pic ur friends tag #BEVC15 @DevrajSanyal @EVCIndia win VIP TXT TENTS pic twitter com lIYg98LVZf|24|126
