5:19 PM - 3 Dec 2015|Here every senator voted expanding background checks following year's 355th mass shooting pic twitter com Hd5ipbR5HN|14K|7.5K
10:18 AM - 22 Nov 2015|Dick Vitale calling game team plays Duke really cruel unusual punishment|10|21
3:49 PM - 16 Nov 2015|100 referring ISIS Daesh apparently ultimate troll pic twitter com ADwjBthlL3|824|788
