11:44 AM - 8 Dec 2015|HOW DID HE DO THIS pic twitter com GHOLR1WTsV|7.6K|7.1K
12:52 PM - 6 Dec 2015|That's BET Help get 50 000 rts stop pic twitter com 2eZ4e4wk1s|13K|1.7K
12:38 AM - 15 Nov 2015|make wish retweet pic twitter com VsDNQDSGFK|9.8K|1.7K
10:39 AM - 5 Dec 2015|No one read far Easter Bunny real I want bang Winona Ryder - Last sentence Hawking's Brief History Time|884|3K
