3:59 AM - 8 Dec 2015|How horrible Voldemort nowhere near bad https twitter com BBCNewsbeat status 674170911344455680|220K|200K
8:35 PM - 7 Dec 2015|Jon Stewart wants tell @SenateMajLdr pass 9 11 Zadroga Act Now #worstresponders #shameworks pic twitter com tqIlzOLUYM|13K|8.8K
10:20 AM - 22 Nov 2015|Somewhere Trump's bigotry right wing's environmental recklessness left wing media's PC witch hunts reason exists|3.3K|6.2K
11:48 AM - 2 Dec 2015|54 Planned Parenthood facilities served areas w o adequate access Community Health Centers care #StandWithPP|192|257
6:05 PM - 3 Dec 2015|NEWS #Mizzou Football Announces Barry Odom 32nd Head Football Coach #MizzouMade39 http mutigers com news 2015 12 3 coach-odom-39 aspx pic twitter com E4mMPdcKul|1.5K|814
10:40 AM - 3 Dec 2015|Authorities Say Country Still An Active Shooter Situation http onion com 1Q3hYO2 pic twitter com 45mKUItLli|662|756
12:08 PM - 2 Dec 2015|San Bernadino shooting least 352nd mass shooting year America We're 336 days year http shootingtracker com wiki Mass_Shootings_in_2015|1.8K|672
2:36 PM - 1 Dec 2015|It's good see @KurtUSchaefer great earnings tax seeks kill #KC #StL e-tax https twitter com st_vockrodt status 671809137794158593|6|1
7:23 PM - 27 Nov 2015|Extremist rhetoric create lethal consequences Now ever I #StandWithPP #CSPD victims today's shootings|758|1.4K
11:39 AM - 17 Nov 2015|Happening Now Soccer stadium Germany evacuated http bit ly 1HWtIJY|3|2
