3:53 PM - 8 Dec 2015|Let light #lovetrumpshate https www instagram com p _DMTrLq8xj|378|700
8:01 AM - 8 Dec 2015|Donald Trump's Islamophobia didn't come nowhere It's nurtured GOP campaign season http thinkprogress org politics 2015 12 08 3729448 your-comprehensive-guide-to-islamophobia-in-the-2016-presidential-election|143|125
1:08 PM - 4 Dec 2015|It complicated If dangerous fly America dangerous buy gun America https amp twimg com v 1d446041-c499-4e07-95ff-24616091234e|1.8K|3.1K
6:15 AM - 4 Dec 2015|The Senate finally voted repeal Obamacare http theatln tc 1NvcnJD pic twitter com qECG9XNO74|46|28
