5:03 PM - 9 Dec 2015|Why everyone megaphone yell megaphone purpose amplify voice|15|45
8:29 AM - 4 Dec 2015|Will using #TTC get #PurposeInTO RT tweet could win 2 tickets @universalmusicC pic twitter com GE6sBILUyj|2K|518
8:58 PM - 3 Dec 2015|RELATIONSHIP STATUS Slept curled ball last night unfolded clothes taking rest bed|629|2K
