6:07 PM - 10 Dec 2015|Have maybe thought unplugging Republican Party plugging back|1.2K|2.2K
5:34 PM - 5 Dec 2015|Some genius made video sad Browns fans set Adele http huff 1NzYWIA pic twitter com er7LKNIlJo|132|176
11:28 AM - 28 Nov 2015|U-G-L-Y Just horrid tackling Michigan today Barrett absurd|7|12
12:07 PM - 25 Nov 2015|Black leaders want Chicago's top cop http reut rs 1IbdHFz|128|74
1:14 PM - 15 Nov 2015|Let's go Vikes #Skol|51|193
