2:49 PM - 4 Dec 2015|Blurryface 99 cents @GooglePlay limited time http smarturl blurryface-gp pic twitter com TH44yOFZ14|2.4K|8.2K
5:44 AM - 3 Dec 2015|days eat salads go gym days eat cupcakes refuse put pants it's called balance|154|238
12:43 PM - 1 Dec 2015|I love checking phone see texts I haven't received|2.8K|4.5K
12:48 PM - 1 Dec 2015|I want invest jobs education young people rather jails incarceration|1.9K|3.9K
8:23 AM - 26 Nov 2015|We re hopelessly devoted @AaronTveit Check first @GreaseLive promo http bit ly 1T25Fz8 pic twitter com EQIMVBUHPt|111|428
