9:22 AM - 7 Dec 2015|When professor framed photo woody allen soon-yi priven office don't think it's ironic|1|0
6:27 AM - 26 Nov 2015|mom says cant vape dinner table #ThanksgivingWithWhiteFamilies pic twitter com hhMGgXn8Mf|433|553
7:06 AM - 26 Nov 2015|When want nice Thanksgiving dinner mom brings data usage #ThanksgivingWithWhiteFamilies pic twitter com aAFoo6EFxj|315|550
8:38 AM - 20 Nov 2015|We apologize original image Zayn Malik mentioned story obviously part ISIS pic twitter com CzEaDwxs3y|5.1K|3.9K
9:02 AM - 20 Nov 2015|send help pic twitter com yijDyUM8Ck|10|53
12:10 PM - 14 Nov 2015|IN FIVE MINUTES The #2SPOOKY Stream We dissect infamous edgelording claims|32|58
