11:55 AM - 1 Dec 2015|took five love languages test got words encouragement thank bday weesh's frens go create|14K|36K
3:03 PM - 30 Nov 2015|show Orlando visited Disney World search place stay night https amp twimg com v cde7dd0f-7bad-4acd-a5b0-fada8457adf2|8.8K|18K
4:37 PM - 29 Nov 2015|@__b3cca_ The bants strong pic twitter com CG9xi5BnoH|1|1
5:46 PM - 17 Nov 2015|I tired|35|67
