12:39 PM - 7 Dec 2015|31st year row shut @TheGRAMMYs nominations When anti-Joywave bias end|32|120
8:17 AM - 4 Dec 2015|Check Boy Girl Julian Jehnny Beth http bit ly boygirlvideo pic twitter com pVUxbHB07K|384|818
6:50 PM - 29 Nov 2015|@evyedens Valentina shoutout I seriously cried work I love much look pic twitter com 0yqUv6YQic|1|1
6:32 PM - 29 Nov 2015|Evy posted new merch I ON IT oh god I love much always fav|1|0
6:39 PM - 29 Nov 2015|@evyedens I love|1|0
8:21 PM - 26 Nov 2015|More thanks even pic twitter com 7cK2kpJgFu|3|11
9:03 AM - 24 Nov 2015|But hair long I'm confused https twitter com ma_indie_ballz status 669179290773118976|6|64
6:48 AM - 23 Nov 2015|@girlsagainst friends spreading DUH message sexual harassment shows unacceptable https www wow247 co uk 2015 11 20 groping-at-gigs-is-a-real-issue-that-we-cant-just-ignore|133|252
9:00 AM - 23 Nov 2015|Kindness new rock roll|537|658
4:41 AM - 18 Nov 2015|RT TO WIN Want win 100 @ASOS voucher Simply retweet enter #UNiDAYSXASOS pic twitter com OTaffZouJU|1K|131
11:22 AM - 18 Nov 2015|RT follow enter win tyranny poster SIGNED copy 'origin inspiration' samuel adoquei #WinWednesday pic twitter com HMLlAkunoW|749|248
4:00 PM - 16 Nov 2015|mom feels mistold story internet radio show here's real scoop said I hate Jews 1986 pic twitter com jw1EJiID9x|2.2K|8.3K
1:43 AM - 16 Nov 2015|ok apparently interchanged two illustrations whoops fixed pic twitter com WSM2tqDfry|3|6
12:54 AM - 16 Nov 2015|i'm obsessed piece pic twitter com cM21o6nU0D|3|20
