5:58 AM - 9 Dec 2015|born wrong generation pic twitter com 6ISRGYpoJj|4.8K|5.6K
4:05 PM - 8 Dec 2015|Bye Trump He's disqualified Bye Trump He's still race BYE TRUMP Nothing's official- CAN'T YOU JUST LET THE WORLD HAVE THIS|14|30
8:01 AM - 8 Dec 2015|Believe little Donald running president United States http www clickhole com r 2866tsd pic twitter com cpJ3zQMD6z|1.3K|1.6K
1:08 PM - 8 Dec 2015|This important pic twitter com TR6vWdr1wH|5.1K|8.7K
2:21 PM - 7 Dec 2015|We point reckless irresponsible compare Trump Hitler|1.8K|2.4K
10:24 AM - 8 Dec 2015|History show Britain beaten group stages The Sea tense final Artificial Intelligence The Caliphate|299|529
7:45 AM - 8 Dec 2015|There way coming back one http onion com 1NTz7JU pic twitter com YPHn9aF0hb|2.1K|2.1K
3:41 PM - 27 Nov 2015|What's best song 'Book Of Mormon'|46|123
