12:42 PM - 11 Dec 2015|I got politics figure become President I got politics I give damn|19K|33K
4:32 PM - 3 Dec 2015|Do ever wake look closet think Weezer t-shirt I going wear today|232|567
7:25 PM - 3 Dec 2015|nine people play live TWIABP idk re tbh sounds great whatever|2|16
1:12 PM - 3 Dec 2015|NO LONGER GOING TO BE POLITICALLY CORRECT I LIKE COLDPLAY|88|391
12:17 PM - 3 Dec 2015|link donate planned parenthood healthcare education choice https secure ppaction org site Donation2 df_id 17853 17853 donation form1 s_src YearEnd_1215_Appeal_c3_ad_sea1 s_subsrc 3NALz1606K1N1V gclid CLmA3PHAwMkCFYU-aQodXWgDqg|51|72
3:22 PM - 2 Dec 2015|When Presidential wannabes GOP tweet prayers highly publicized mass shootings occurs Planned Parenthood notice|792|745
2:45 PM - 2 Dec 2015|@thecamboucher fuck guns|29|101
2:42 PM - 2 Dec 2015|don't tell need better mental health services you're mother fucker tell get manic depression|143|351
12:53 PM - 2 Dec 2015|1789 226 years think far come society 226 years british aren't coming anymore put fuckin gun away|356|584
12:58 PM - 2 Dec 2015|extremely disheartened shooting today usual targeting center developmentally disabled fuck|2|12
11:52 AM - 2 Dec 2015|As reports come keep points mind re shooting San Bernadino #SanBernadino pic twitter com mlThHWJkZh|1.4K|1K
11:45 AM - 2 Dec 2015|@DrJoshMilli I telemarketing|1|0
5:23 PM - 1 Dec 2015|New tinder drinking game every girl standing front bean Chicago take shot|2|6
11:03 AM - 30 Nov 2015|@Marvel releasing free comic book compiling amazing hip-hop variant covers http p4k co VhEbD pic twitter com sJWUZClUJs|137|253
12:04 AM - 30 Nov 2015|Is pundit another word real human|1|6
12:38 PM - 29 Nov 2015|Yahoo 'accidentally publishes Rihanna album review without actually heard it' http ind pn 21nn0Zv pic twitter com Vav86W5NHp|164|183
11:16 AM - 29 Nov 2015|@matanater8 @yellcwfang @Mak_choux haha nope wrong movie james franco right guardians galaxy wtf|52|549
11:03 AM - 29 Nov 2015|omg dude guardians galaxy keeps saying great pretenious ass can't even say right wtf|589|1.7K
9:26 PM - 28 Nov 2015|Suspect Planned Parenthood attack said 'no baby parts' arrest http www theguardian com us-news 2015 nov 29 suspect-in-planned-parenthood-attack-said-no-more-baby-parts-after-arrest And still GOP response Shameful|127|135
8:47 PM - 28 Nov 2015|I don't know handle It's called whiskey #storyofmylife|1|5
11:21 AM - 28 Nov 2015|Donald Trump's new campaign slogan Donald Trump 2016 If You're Reading This it's Too Late|3|2
10:46 AM - 28 Nov 2015|made pic twitter com Gdvzqb96xG|124|230
10:14 AM - 28 Nov 2015|Thanks everyone outpouring support We must stand together violence attacks repro health care #StandWithPP|887|1.6K
10:07 AM - 28 Nov 2015|I strongly support Planned Parenthood work it's I hope people realize bitter rhetoric unintended consequences|3.8K|7.5K
5:28 PM - 27 Nov 2015|I trying imagine club pic twitter com r0PLMWTOQv|31|93
12:05 PM - 27 Nov 2015|Another Christian terrorist shooting abortion clinic Moderate Christians something religious extremists|9.8K|10K
11:48 AM - 27 Nov 2015|Walked west county mall decided we're never materialistic Christmas family|1|4
10:26 AM - 27 Nov 2015|Whenever I see new puppy I feel like I'm meeting celebrity|6|15
11:30 AM - 26 Nov 2015|If you're going Black Friday shopping hardcore dance crowd get good shit|33|54
6:36 AM - 27 Nov 2015|90 new #emorevival wealth generated since 2013 gone @FOXINGtheband @twiabp #EmocraticSocialism #BlackFriday|57|159
8:20 PM - 26 Nov 2015|She muttered disgrace behind David I y'all https twitter com DrJoshMilli status 670019059107393537|1|1
5:10 AM - 25 Nov 2015|Everyone Twiabp hates Went get candy|6|29
12:31 PM - 26 Nov 2015|ATTENTION PARENTS listening punk-rock turns God-Fearing Relient K fans satanists LOOKOut pic twitter com RmDQrFxUIt|9|36
9:58 PM - 25 Nov 2015|art stupid|1|2
9:20 PM - 25 Nov 2015|American netflix434 971-1043|1|0
11:14 AM - 25 Nov 2015|So blessed whole family together holiday #mindfulness pic twitter com OCG5yL1dyA|4.2K|8.4K
5:44 PM - 24 Nov 2015|david cutie wouldn't miss|1|1
6:32 PM - 23 Nov 2015|Update And @BernieSanders @KillerMike Run Jewels hand gesture http p4k co UZXso pic twitter com OGfNT1rP5p|2.3K|2.9K
10:17 PM - 23 Nov 2015|AP confirmed #4thPrecinctShutDown shooting Minneapolis police say 5 people shot injured deaths http bigstory ap org article 28a99e3c58684ad29c55cccaa5a11ba3 latest-feds-investigating-minneapolis-police-shooting|242|58
5:34 AM - 23 Nov 2015|what's people high school haven't changed profile pic since 2013 like three kids|2|26
9:43 PM - 22 Nov 2015|Why people think working fast food easy|4|12
3:39 PM - 22 Nov 2015|It radical socialist idea say somebody works 40 hours week person living poverty - Bernie Sanders|1.7K|3K
9:37 AM - 22 Nov 2015|He real He republican front runner https twitter com buzzfeednews status 668479063967711232|3|4
10:00 PM - 21 Nov 2015|Actually wait|1|6
9:37 PM - 21 Nov 2015|His response Great article written Nah got bigger fish fry sexist neck beards|1|17
1:26 PM - 21 Nov 2015|seventy times seven brand new pic twitter com cnUvygPTSj|281|316
1:27 PM - 21 Nov 2015|The lil girl cover Devil God She's 38 highly diversified stock portfolio already Feel old yet|10|29
9:04 PM - 19 Nov 2015|hit baby one time britney spears pic twitter com dJBRbqzkAS|249|433
7:46 AM - 16 Nov 2015|dont know shit stock market cant possibly see investing goldfish would bad idea|34|43
6:02 PM - 20 Nov 2015|I laughed hard @twiabp pic twitter com 94t1BVCVdo|178|344
6:08 AM - 20 Nov 2015|Trump supporters attacking Holocaust Museum supporting persecuted refugees real thing internet today|1.7K|988
12:50 PM - 16 Nov 2015|@DCpierson lisa isn't overachiever- can't even graduate damn 2nd grade|2|36
10:06 AM - 20 Nov 2015|@realDonaldTrump wall keep wife goddamn side bed|515|1.6K
12:43 PM - 19 Nov 2015|17 Worth noting @theIRC excellent work refugees always appreciates donations https engage rescue org donate ms gs_brnd_eoy_best_ES_141217 utm_source brandedSearch utm_medium ppc utm_campaign eoy utm_content branded gclid CNfSlYusnckCFUgvgQodYzUJfw|696|763
12:42 PM - 19 Nov 2015|16 But it's frightening times get find country really deserves call 'home brave '|2.9K|2.7K
12:42 PM - 19 Nov 2015|15 behave like kind nation I get people scared|794|769
12:42 PM - 19 Nov 2015|14 kind nation capable forging strong links Muslim world extremism|773|759
12:42 PM - 19 Nov 2015|13 If want kind nation others follow|770|694
12:42 PM - 19 Nov 2015|12 welcoming home America|717|681
12:42 PM - 19 Nov 2015|11 Millions pilgrims hurtling darkness Germany recently beacon standing strong true|815|832
12:42 PM - 19 Nov 2015|10 pilgrims lost places hurtling darkness toward home|734|748
12:41 PM - 19 Nov 2015|9 And she's still beacon still magnet must freedom|721|713
12:41 PM - 19 Nov 2015|8 After 200 years two centuries still stands strong true granite ridge glow held steady matter storm|702|667
12:41 PM - 19 Nov 2015|7 Shining City Hill asked farewell address Oval Office Shining City fared answering|678|628
12:41 PM - 19 Nov 2015|6 This shouldn't left-right issue Ronald Reagan believed America exceptional nation|706|672
12:41 PM - 19 Nov 2015|5 You re supposed risk life American ideals well|865|976
12:41 PM - 19 Nov 2015|4 You re supposed risk life physical safety American citizens|829|796
12:41 PM - 19 Nov 2015|3 The Marine hymn claims Marines first fight right freedom keep honor clean|762|751
12:40 PM - 19 Nov 2015|2 When I swore oath office Marine officer I swore support defend Constitution United States|814|823
12:40 PM - 19 Nov 2015|1 Tremendously upset attempt effectively close borders Syrian refugees imposing impossible-to-implement screening standards|1.2K|1.3K
12:14 PM - 19 Nov 2015|Heartbreaking terrifying hear ghost inside Touring risky mortality real|1|4
11:34 AM - 19 Nov 2015|I mean I never say word p-u-s-s-y I don't lifted truck parents love|5|17
6:40 AM - 19 Nov 2015|clean shirt|593|1.2K
5:43 PM - 16 Nov 2015|RT bless someone's timeline https vine co v eAZvBD6nMim|421|469
7:46 PM - 18 Nov 2015|Jackson revealed knows Gilmore girls interlude guitar music ON GUITAR|3|25
1:21 PM - 17 Nov 2015|You're true 90s kid sacrificed youthful soul data aliens order help prevent Y2K apocalypse|8|27
12:32 PM - 18 Nov 2015|It truly baffles Kevin Lyman hasn't hired publicist podiatrist remove foot mouth|3|16
10:28 AM - 18 Nov 2015|Telling worry like telling river oh God I could drown river|138|362
11:14 AM - 18 Nov 2015|It's Rigtatorship|1|3
9:30 AM - 18 Nov 2015|@DrJoshMilli made disrespect surroundings|1|3
7:30 AM - 18 Nov 2015|fuck dieticians|24|23
11:54 PM - 17 Nov 2015|The republicans share image Facebook support party cuts veteran support services pic twitter com FoJnxKWDNm|8|23
5:11 PM - 17 Nov 2015|Rick Santorum If you're looking candidate hasn't dropped yet https twitter com ricksantorum status 666783475152912385|1|11
3:11 PM - 16 Nov 2015|At Che cafe punk stuff|2|9
7:07 PM - 14 Nov 2015|Hillary wrapping 9 11 flag combat Sanders' accusations Wall Street donations corrupts dis-gus-ting|298|561
8:27 AM - 15 Nov 2015|joker steve miller band pic twitter com L0HwrJHEt2|14|17
7:47 PM - 14 Nov 2015|My husband's sentient heat-seeking demon-dick -- Hillary #GreatestCrisis #DemDebate|283|998
7:39 PM - 14 Nov 2015|College costs scam Make free An educated populace make financial hit #DemDebate|876|2.2K
7:29 PM - 14 Nov 2015|Hillary Clinton's answers Wall Street money politics terrible Does money corrupt politicians OF COURSE #DemDebate|327|428
7:10 PM - 14 Nov 2015|I remember 'weak tea ' The cup Earl Grey I DRANK ON 9 11 -- Hilary #DemDebate|312|781
7:05 PM - 14 Nov 2015|Well I think Clinton answer ready go #nprdebate|11|25
7:05 PM - 14 Nov 2015|Clinton pivots say majority donors women wow #nprdebate|20|32
6:29 PM - 14 Nov 2015|I miss Lincoln Chafee I hope cut deck grilling pork chops listening smooth jazz #DemDebate|387|991
6:29 PM - 14 Nov 2015|O Malley comes across kind guy would read first paragraph article argue people whole thing|1|2
6:23 PM - 14 Nov 2015|Hillary second guessing gin xanax green room #DemDebate|140|405
6:23 PM - 14 Nov 2015|Ugh Another I met mom story How 'bout I got bar fight libertarian story #DemDebate|325|1.1K
6:14 PM - 14 Nov 2015|I wish @SenSanders would end one response muttering Tough room #DemDebate|249|962
6:17 PM - 14 Nov 2015|#nprdebate Starting 9pm Saturday night They must want many people watch|21|36
6:04 PM - 14 Nov 2015|I real person I flesh-covered titanium combat skeleton HUGS Jesus weird quote Hilary #DemDebate|244|691
