11:26 PM - 10 Dec 2015|Omg heard Archduke Franz Ferdinand-- thoughts prayers family|1.8K|4.5K
7:38 AM - 7 Dec 2015|The New York Daily News stepped trolling elite level http i100 io wmd10ng pic twitter com 16Hd8yjS7x|140|152
8:01 AM - 3 Dec 2015|Watson Brown retires @TnTechFootball head coach writes @jordanpace13 READ http bit ly 1MYtGFR pic twitter com 4A82h3h1dm|2|1
8:06 PM - 28 Nov 2015|Most teams play ten If need extra push know Put eleven #11inarow pic twitter com lQ6x5kMNw8|2|6
4:05 PM - 14 Nov 2015|The conservative journey freedom fries Je Suis Paris http bit ly 1RW2tF0 pic twitter com Qlm4eYxfHK|23|17
