7:19 AM - 11 Dec 2015|Good morning here's grass pupper 12 10 pic twitter com 2d68FmWGGs|1.4K|2.8K
6:36 PM - 9 Dec 2015|UT admitted 47 students Abigail Fisher 42 unqualified students white But she's complaining abt 5 Black students|471|312
9:57 AM - 9 Dec 2015|To conversation affirmative action w o conversation history black ppl seen inherently inferior dishonest|465|414
8:28 AM - 5 Dec 2015|I'm glad NYT pushing it's hard ignore hilarious reporting paper pic twitter com LNi3tND3Yx|9|61
8:02 AM - 1 Dec 2015|We performed Oceanside bed sick kids stuck http youtu kwu2fR1QDYU http BedstockFest com #Bedstock @MyMusic_Rx|39|74
7:13 PM - 4 Dec 2015|1 u seen teenage penguin 2 u ever seen anything extremely teenager ur life pic twitter com a8KDQrJjXI|6.5K|9.4K
