12:24 PM - 2 Dec 2015|The terrorists calling inside country|115|236
7:14 AM - 28 Nov 2015|Today #SmallBusinessSaturday #LocalComicShopDay Please support local small businesses including comic book store|26|34
7:40 AM - 23 Nov 2015|Donald Trump worst parts Internet standing shoulders trench coat|187|298
10:23 AM - 19 Nov 2015|Hey @realDonaldTrump I'm American Muslim I already carry special ID badge Where's #SemperFi #USMC pic twitter com QSf2O9PTi2|39K|51K
7:17 AM - 19 Nov 2015|I mean hijab AND Muslim ID would pretty redundant https twitter com thehill status 667349385555111936|22|53
