3:54 PM - 3 Dec 2015|WHO DID THIS SHIT https vine co v iWz1Q7XaMUO|1.5K|2.5K
8:59 AM - 28 Nov 2015|The thing 'persistent' StarCitizen 2 0 Are knee-jerk excuses proffered defense lack advertised features|10|22
11:45 AM - 26 Nov 2015|I AM GLUTEN I AM DEATH FEAR ME MORTALS FEAR ME #MacysParade pic twitter com t0HJLhRzLw|3.7K|4.6K
9:43 PM - 20 Nov 2015|THERE'S NO MORE BAD GRAMMAR THERE'S NO MORE BAD GRAMMAR THERE'S NO MORE BAD GRAMMAR|820|3.8K
